candidate,office,district,county,votes
Travis W. Childers,U.S. House,1,Alcorn,1862
Greg Davis,U.S. House,1,Alcorn,1059
Steve Holland,U.S. House,1,Alcorn,11
"Glenn L. McCullough, Jr.",U.S. House,1,Alcorn,27
Wally Pang,U.S. House,1,Alcorn,6
"John M. Wages, Jr.",U.S. House,1,Alcorn,11
Travis W. Childers,U.S. House,1,Benton,504
Greg Davis,U.S. House,1,Benton,227
Steve Holland,U.S. House,1,Benton,6
"Glenn L. McCullough, Jr.",U.S. House,1,Benton,10
Wally Pang,U.S. House,1,Benton,0
"John M. Wages, Jr.",U.S. House,1,Benton,1
Travis W. Childers,U.S. House,1,Calhoun,694
Greg Davis,U.S. House,1,Calhoun,501
Steve Holland,U.S. House,1,Calhoun,33
"Glenn L. McCullough, Jr.",U.S. House,1,Calhoun,24
Wally Pang,U.S. House,1,Calhoun,14
"John M. Wages, Jr.",U.S. House,1,Calhoun,12
Travis W. Childers,U.S. House,1,Chickasaw,1177
Greg Davis,U.S. House,1,Chickasaw,478
Steve Holland,U.S. House,1,Chickasaw,45
"Glenn L. McCullough, Jr.",U.S. House,1,Chickasaw,26
Wally Pang,U.S. House,1,Chickasaw,11
"John M. Wages, Jr.",U.S. House,1,Chickasaw,14
Travis W. Childers,U.S. House,1,Choctaw,300
Greg Davis,U.S. House,1,Choctaw,291
Steve Holland,U.S. House,1,Choctaw,7
"Glenn L. McCullough, Jr.",U.S. House,1,Choctaw,23
Wally Pang,U.S. House,1,Choctaw,10
"John M. Wages, Jr.",U.S. House,1,Choctaw,5
Travis W. Childers,U.S. House,1,Clay,1609
Greg Davis,U.S. House,1,Clay,722
Steve Holland,U.S. House,1,Clay,36
"Glenn L. McCullough, Jr.",U.S. House,1,Clay,67
Wally Pang,U.S. House,1,Clay,9
"John M. Wages, Jr.",U.S. House,1,Clay,15
Travis W. Childers,U.S. House,1,DeSoto,2069
Greg Davis,U.S. House,1,DeSoto,10173
Steve Holland,U.S. House,1,DeSoto,25
"Glenn L. McCullough, Jr.",U.S. House,1,DeSoto,191
Wally Pang,U.S. House,1,DeSoto,35
"John M. Wages, Jr.",U.S. House,1,DeSoto,27
Travis W. Childers,U.S. House,1,Grenada,553
Greg Davis,U.S. House,1,Grenada,752
Steve Holland,U.S. House,1,Grenada,40
"Glenn L. McCullough, Jr.",U.S. House,1,Grenada,38
Wally Pang,U.S. House,1,Grenada,4
"John M. Wages, Jr.",U.S. House,1,Grenada,7
Travis W. Childers,U.S. House,1,Itawamba,1175
Greg Davis,U.S. House,1,Itawamba,713
Steve Holland,U.S. House,1,Itawamba,58
"Glenn L. McCullough, Jr.",U.S. House,1,Itawamba,16
Wally Pang,U.S. House,1,Itawamba,22
"John M. Wages, Jr.",U.S. House,1,Itawamba,19
Travis W. Childers,U.S. House,1,Lafayette,1149
Greg Davis,U.S. House,1,Lafayette,1342
Steve Holland,U.S. House,1,Lafayette,14
"Glenn L. McCullough, Jr.",U.S. House,1,Lafayette,40
Wally Pang,U.S. House,1,Lafayette,53
"John M. Wages, Jr.",U.S. House,1,Lafayette,28
Travis W. Childers,U.S. House,1,Lee,4900
Greg Davis,U.S. House,1,Lee,3145
Steve Holland,U.S. House,1,Lee,149
"Glenn L. McCullough, Jr.",U.S. House,1,Lee,81
Wally Pang,U.S. House,1,Lee,64
"John M. Wages, Jr.",U.S. House,1,Lee,106
Travis W. Childers,U.S. House,1,Lowndes,1855
Greg Davis,U.S. House,1,Lowndes,2252
Steve Holland,U.S. House,1,Lowndes,34
"Glenn L. McCullough, Jr.",U.S. House,1,Lowndes,98
Wally Pang,U.S. House,1,Lowndes,4
"John M. Wages, Jr.",U.S. House,1,Lowndes,7
Travis W. Childers,U.S. House,1,Marshall,1633
Greg Davis,U.S. House,1,Marshall,950
Steve Holland,U.S. House,1,Marshall,23
"Glenn L. McCullough, Jr.",U.S. House,1,Marshall,17
Wally Pang,U.S. House,1,Marshall,10
"John M. Wages, Jr.",U.S. House,1,Marshall,6
Travis W. Childers,U.S. House,1,Monroe,2374
Greg Davis,U.S. House,1,Monroe,1206
Steve Holland,U.S. House,1,Monroe,106
"Glenn L. McCullough, Jr.",U.S. House,1,Monroe,84
Wally Pang,U.S. House,1,Monroe,27
"John M. Wages, Jr.",U.S. House,1,Monroe,24
Travis W. Childers,U.S. House,1,Panola,1057
Greg Davis,U.S. House,1,Panola,1058
Steve Holland,U.S. House,1,Panola,22
"Glenn L. McCullough, Jr.",U.S. House,1,Panola,30
Wally Pang,U.S. House,1,Panola,279
"John M. Wages, Jr.",U.S. House,1,Panola,11
Travis W. Childers,U.S. House,1,Pontotoc,1338
Greg Davis,U.S. House,1,Pontotoc,1117
Steve Holland,U.S. House,1,Pontotoc,36
"Glenn L. McCullough, Jr.",U.S. House,1,Pontotoc,41
Wally Pang,U.S. House,1,Pontotoc,41
"John M. Wages, Jr.",U.S. House,1,Pontotoc,28
Travis W. Childers,U.S. House,1,Prentiss,4136
Greg Davis,U.S. House,1,Prentiss,653
Steve Holland,U.S. House,1,Prentiss,27
"Glenn L. McCullough, Jr.",U.S. House,1,Prentiss,26
Wally Pang,U.S. House,1,Prentiss,24
"John M. Wages, Jr.",U.S. House,1,Prentiss,15
Travis W. Childers,U.S. House,1,Tate,632
Greg Davis,U.S. House,1,Tate,1319
Steve Holland,U.S. House,1,Tate,8
"Glenn L. McCullough, Jr.",U.S. House,1,Tate,15
Wally Pang,U.S. House,1,Tate,31
"John M. Wages, Jr.",U.S. House,1,Tate,9
Travis W. Childers,U.S. House,1,Tippah,1132
Greg Davis,U.S. House,1,Tippah,705
Steve Holland,U.S. House,1,Tippah,10
"Glenn L. McCullough, Jr.",U.S. House,1,Tippah,18
Wally Pang,U.S. House,1,Tippah,9
"John M. Wages, Jr.",U.S. House,1,Tippah,7
Travis W. Childers,U.S. House,1,Tishomingo,1181
Greg Davis,U.S. House,1,Tishomingo,678
Steve Holland,U.S. House,1,Tishomingo,29
"Glenn L. McCullough, Jr.",U.S. House,1,Tishomingo,29
Wally Pang,U.S. House,1,Tishomingo,12
"John M. Wages, Jr.",U.S. House,1,Tishomingo,10
Travis W. Childers,U.S. House,1,Union,1191
Greg Davis,U.S. House,1,Union,846
Steve Holland,U.S. House,1,Union,33
"Glenn L. McCullough, Jr.",U.S. House,1,Union,33
Wally Pang,U.S. House,1,Union,21
"John M. Wages, Jr.",U.S. House,1,Union,19
Travis W. Childers,U.S. House,1,Webster,286
Greg Davis,U.S. House,1,Webster,476
Steve Holland,U.S. House,1,Webster,19
"Glenn L. McCullough, Jr.",U.S. House,1,Webster,27
Wally Pang,U.S. House,1,Webster,5
"John M. Wages, Jr.",U.S. House,1,Webster,6
Travis W. Childers,U.S. House,1,Winston,4
Greg Davis,U.S. House,1,Winston,0
Steve Holland,U.S. House,1,Winston,0
"Glenn L. McCullough, Jr.",U.S. House,1,Winston,0
Wally Pang,U.S. House,1,Winston,0
"John M. Wages, Jr.",U.S. House,1,Winston,0
Travis W. Childers,U.S. House,1,Yalobusha,493
Greg Davis,U.S. House,1,Yalobusha,514
Steve Holland,U.S. House,1,Yalobusha,18
"Glenn L. McCullough, Jr.",U.S. House,1,Yalobusha,7
Wally Pang,U.S. House,1,Yalobusha,34
"John M. Wages, Jr.",U.S. House,1,Yalobusha,11
Travis W. Childers,U.S. House,1,,33304
Greg Davis,U.S. House,1,,31177
Steve Holland,U.S. House,1,,789
"Glenn L. McCullough, Jr.",U.S. House,1,,968
Wally Pang,U.S. House,1,,725
"John M. Wages, Jr.",U.S. House,1,,398