candidate,office,district,party,county,votes,winner
David Baria,U.S. Senate,,DEM,Adams,354,
Jensen Bohren,U.S. Senate,,DEM,Adams,53,
Jerone Garland,U.S. Senate,,DEM,Adams,85,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Adams,116,
Omeria Scott,U.S. Senate,,DEM,Adams,970,
Howard Sherman,U.S. Senate,,DEM,Adams,554,
Randy Mack Wadkins,U.S. House,1,DEM,Adams,,
Bennie Thompson,U.S. House,2,DEM,Adams,,
Kevin Michael Aycox,U.S. House,3,DEM,Adams,473,
Michael Ted Evans,U.S. House,3,DEM,Adams,1528,
Jeramey Anderson,U.S. House,4,DEM,Adams,,
David Baria,U.S. Senate,,DEM,Alcorn,182,
Jensen Bohren,U.S. Senate,,DEM,Alcorn,20,
Jerone Garland,U.S. Senate,,DEM,Alcorn,22,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Alcorn,11,
Omeria Scott,U.S. Senate,,DEM,Alcorn,25,
Howard Sherman,U.S. Senate,,DEM,Alcorn,106,
Randy Mack Wadkins,U.S. House,1,DEM,Alcorn,294,
Bennie Thompson,U.S. House,2,DEM,Alcorn,,
Kevin Michael Aycox,U.S. House,3,DEM,Alcorn,,
Michael Ted Evans,U.S. House,3,DEM,Alcorn,,
Jeramey Anderson,U.S. House,4,DEM,Alcorn,,
David Baria,U.S. Senate,,DEM,Amite,164,
Jensen Bohren,U.S. Senate,,DEM,Amite,29,
Jerone Garland,U.S. Senate,,DEM,Amite,61,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Amite,49,
Omeria Scott,U.S. Senate,,DEM,Amite,135,
Howard Sherman,U.S. Senate,,DEM,Amite,123,
Randy Mack Wadkins,U.S. House,1,DEM,Amite,,
Bennie Thompson,U.S. House,2,DEM,Amite,,
Kevin Michael Aycox,U.S. House,3,DEM,Amite,158,
Michael Ted Evans,U.S. House,3,DEM,Amite,372,
Jeramey Anderson,U.S. House,4,DEM,Amite,,
David Baria,U.S. Senate,,DEM,Attala,127,
Jensen Bohren,U.S. Senate,,DEM,Attala,17,
Jerone Garland,U.S. Senate,,DEM,Attala,428,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Attala,20,
Omeria Scott,U.S. Senate,,DEM,Attala,23,
Howard Sherman,U.S. Senate,,DEM,Attala,137,
Randy Mack Wadkins,U.S. House,1,DEM,Attala,,
Bennie Thompson,U.S. House,2,DEM,Attala,739,
Kevin Michael Aycox,U.S. House,3,DEM,Attala,,
Michael Ted Evans,U.S. House,3,DEM,Attala,,
Jeramey Anderson,U.S. House,4,DEM,Attala,,
David Baria,U.S. Senate,,DEM,Benton,59,
Jensen Bohren,U.S. Senate,,DEM,Benton,10,
Jerone Garland,U.S. Senate,,DEM,Benton,11,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Benton,15,
Omeria Scott,U.S. Senate,,DEM,Benton,35,
Howard Sherman,U.S. Senate,,DEM,Benton,62,
Randy Mack Wadkins,U.S. House,1,DEM,Benton,152,
Bennie Thompson,U.S. House,2,DEM,Benton,,
Kevin Michael Aycox,U.S. House,3,DEM,Benton,,
Michael Ted Evans,U.S. House,3,DEM,Benton,,
Jeramey Anderson,U.S. House,4,DEM,Benton,,
David Baria,U.S. Senate,,DEM,Bolivar,281,
Jensen Bohren,U.S. Senate,,DEM,Bolivar,41,
Jerone Garland,U.S. Senate,,DEM,Bolivar,40,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Bolivar,64,
Omeria Scott,U.S. Senate,,DEM,Bolivar,319,
Howard Sherman,U.S. Senate,,DEM,Bolivar,449,
Randy Mack Wadkins,U.S. House,1,DEM,Bolivar,,
Bennie Thompson,U.S. House,2,DEM,Bolivar,1245,
Kevin Michael Aycox,U.S. House,3,DEM,Bolivar,,
Michael Ted Evans,U.S. House,3,DEM,Bolivar,,
Jeramey Anderson,U.S. House,4,DEM,Bolivar,,
David Baria,U.S. Senate,,DEM,Calhoun,55,
Jensen Bohren,U.S. Senate,,DEM,Calhoun,8,
Jerone Garland,U.S. Senate,,DEM,Calhoun,9,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Calhoun,7,
Omeria Scott,U.S. Senate,,DEM,Calhoun,55,
Howard Sherman,U.S. Senate,,DEM,Calhoun,105,
Randy Mack Wadkins,U.S. House,1,DEM,Calhoun,175,
Bennie Thompson,U.S. House,2,DEM,Calhoun,,
Kevin Michael Aycox,U.S. House,3,DEM,Calhoun,,
Michael Ted Evans,U.S. House,3,DEM,Calhoun,,
Jeramey Anderson,U.S. House,4,DEM,Calhoun,,
David Baria,U.S. Senate,,DEM,Carroll,59,
Jensen Bohren,U.S. Senate,,DEM,Carroll,8,
Jerone Garland,U.S. Senate,,DEM,Carroll,16,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Carroll,18,
Omeria Scott,U.S. Senate,,DEM,Carroll,69,
Howard Sherman,U.S. Senate,,DEM,Carroll,86,
Randy Mack Wadkins,U.S. House,1,DEM,Carroll,,
Bennie Thompson,U.S. House,2,DEM,Carroll,258,
Kevin Michael Aycox,U.S. House,3,DEM,Carroll,,
Michael Ted Evans,U.S. House,3,DEM,Carroll,,
Jeramey Anderson,U.S. House,4,DEM,Carroll,,
David Baria,U.S. Senate,,DEM,Chickasaw,98,
Jensen Bohren,U.S. Senate,,DEM,Chickasaw,22,
Jerone Garland,U.S. Senate,,DEM,Chickasaw,16,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Chickasaw,23,
Omeria Scott,U.S. Senate,,DEM,Chickasaw,176,
Howard Sherman,U.S. Senate,,DEM,Chickasaw,202,
Randy Mack Wadkins,U.S. House,1,DEM,Chickasaw,340,
Bennie Thompson,U.S. House,2,DEM,Chickasaw,,
Kevin Michael Aycox,U.S. House,3,DEM,Chickasaw,,
Michael Ted Evans,U.S. House,3,DEM,Chickasaw,,
Jeramey Anderson,U.S. House,4,DEM,Chickasaw,,
David Baria,U.S. Senate,,DEM,Choctaw,36,
Jensen Bohren,U.S. Senate,,DEM,Choctaw,20,
Jerone Garland,U.S. Senate,,DEM,Choctaw,69,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Choctaw,10,
Omeria Scott,U.S. Senate,,DEM,Choctaw,31,
Howard Sherman,U.S. Senate,,DEM,Choctaw,90,
Randy Mack Wadkins,U.S. House,1,DEM,Choctaw,172,
Bennie Thompson,U.S. House,2,DEM,Choctaw,,
Kevin Michael Aycox,U.S. House,3,DEM,Choctaw,,
Michael Ted Evans,U.S. House,3,DEM,Choctaw,,
Jeramey Anderson,U.S. House,4,DEM,Choctaw,,
David Baria,U.S. Senate,,DEM,Claiborne,160,
Jensen Bohren,U.S. Senate,,DEM,Claiborne,21,
Jerone Garland,U.S. Senate,,DEM,Claiborne,29,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Claiborne,49,
Omeria Scott,U.S. Senate,,DEM,Claiborne,218,
Howard Sherman,U.S. Senate,,DEM,Claiborne,196,
Randy Mack Wadkins,U.S. House,1,DEM,Claiborne,,
Bennie Thompson,U.S. House,2,DEM,Claiborne,705,
Kevin Michael Aycox,U.S. House,3,DEM,Claiborne,,
Michael Ted Evans,U.S. House,3,DEM,Claiborne,,
Jeramey Anderson,U.S. House,4,DEM,Claiborne,,
David Baria,U.S. Senate,,DEM,Clarke,70,
Jensen Bohren,U.S. Senate,,DEM,Clarke,26,
Jerone Garland,U.S. Senate,,DEM,Clarke,22,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Clarke,17,
Omeria Scott,U.S. Senate,,DEM,Clarke,382,
Howard Sherman,U.S. Senate,,DEM,Clarke,177,
Randy Mack Wadkins,U.S. House,1,DEM,Clarke,,
Bennie Thompson,U.S. House,2,DEM,Clarke,,
Kevin Michael Aycox,U.S. House,3,DEM,Clarke,142,
Michael Ted Evans,U.S. House,3,DEM,Clarke,355,
Jeramey Anderson,U.S. House,4,DEM,Clarke,120,
David Baria,U.S. Senate,,DEM,Clay,230,
Jensen Bohren,U.S. Senate,,DEM,Clay,37,
Jerone Garland,U.S. Senate,,DEM,Clay,43,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Clay,41,
Omeria Scott,U.S. Senate,,DEM,Clay,159,
Howard Sherman,U.S. Senate,,DEM,Clay,457,
Randy Mack Wadkins,U.S. House,1,DEM,Clay,723,
Bennie Thompson,U.S. House,2,DEM,Clay,,
Kevin Michael Aycox,U.S. House,3,DEM,Clay,,
Michael Ted Evans,U.S. House,3,DEM,Clay,,
Jeramey Anderson,U.S. House,4,DEM,Clay,,
David Baria,U.S. Senate,,DEM,Coahoma,272,
Jensen Bohren,U.S. Senate,,DEM,Coahoma,21,
Jerone Garland,U.S. Senate,,DEM,Coahoma,33,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Coahoma,29,
Omeria Scott,U.S. Senate,,DEM,Coahoma,204,
Howard Sherman,U.S. Senate,,DEM,Coahoma,207,
Randy Mack Wadkins,U.S. House,1,DEM,Coahoma,,
Bennie Thompson,U.S. House,2,DEM,Coahoma,753,
Kevin Michael Aycox,U.S. House,3,DEM,Coahoma,,
Michael Ted Evans,U.S. House,3,DEM,Coahoma,,
Jeramey Anderson,U.S. House,4,DEM,Coahoma,,
David Baria,U.S. Senate,,DEM,Copiah,320,
Jensen Bohren,U.S. Senate,,DEM,Copiah,47,
Jerone Garland,U.S. Senate,,DEM,Copiah,47,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Copiah,95,
Omeria Scott,U.S. Senate,,DEM,Copiah,137,
Howard Sherman,U.S. Senate,,DEM,Copiah,453,
Randy Mack Wadkins,U.S. House,1,DEM,Copiah,,
Bennie Thompson,U.S. House,2,DEM,Copiah,1130,
Kevin Michael Aycox,U.S. House,3,DEM,Copiah,,
Michael Ted Evans,U.S. House,3,DEM,Copiah,,
Jeramey Anderson,U.S. House,4,DEM,Copiah,,
David Baria,U.S. Senate,,DEM,Covington,113,
Jensen Bohren,U.S. Senate,,DEM,Covington,25,
Jerone Garland,U.S. Senate,,DEM,Covington,29,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Covington,40,
Omeria Scott,U.S. Senate,,DEM,Covington,232,
Howard Sherman,U.S. Senate,,DEM,Covington,191,
Randy Mack Wadkins,U.S. House,1,DEM,Covington,,
Bennie Thompson,U.S. House,2,DEM,Covington,,
Kevin Michael Aycox,U.S. House,3,DEM,Covington,152,
Michael Ted Evans,U.S. House,3,DEM,Covington,435,
Jeramey Anderson,U.S. House,4,DEM,Covington,,
David Baria,U.S. Senate,,DEM,Desoto,845,
Jensen Bohren,U.S. Senate,,DEM,Desoto,112,
Jerone Garland,U.S. Senate,,DEM,Desoto,157,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Desoto,130,
Omeria Scott,U.S. Senate,,DEM,Desoto,282,
Howard Sherman,U.S. Senate,,DEM,Desoto,686,
Randy Mack Wadkins,U.S. House,1,DEM,Desoto,1978,
Bennie Thompson,U.S. House,2,DEM,Desoto,,
Kevin Michael Aycox,U.S. House,3,DEM,Desoto,,
Michael Ted Evans,U.S. House,3,DEM,Desoto,,
Jeramey Anderson,U.S. House,4,DEM,Desoto,,
David Baria,U.S. Senate,,DEM,Forrest,501,
Jensen Bohren,U.S. Senate,,DEM,Forrest,70,
Jerone Garland,U.S. Senate,,DEM,Forrest,89,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Forrest,81,
Omeria Scott,U.S. Senate,,DEM,Forrest,819,
Howard Sherman,U.S. Senate,,DEM,Forrest,477,
Randy Mack Wadkins,U.S. House,1,DEM,Forrest,,
Bennie Thompson,U.S. House,2,DEM,Forrest,,
Kevin Michael Aycox,U.S. House,3,DEM,Forrest,,
Michael Ted Evans,U.S. House,3,DEM,Forrest,,
Jeramey Anderson,U.S. House,4,DEM,Forrest,1760,
David Baria,U.S. Senate,,DEM,Franklin,65,
Jensen Bohren,U.S. Senate,,DEM,Franklin,18,
Jerone Garland,U.S. Senate,,DEM,Franklin,16,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Franklin,20,
Omeria Scott,U.S. Senate,,DEM,Franklin,97,
Howard Sherman,U.S. Senate,,DEM,Franklin,70,
Randy Mack Wadkins,U.S. House,1,DEM,Franklin,,
Bennie Thompson,U.S. House,2,DEM,Franklin,,
Kevin Michael Aycox,U.S. House,3,DEM,Franklin,93,
Michael Ted Evans,U.S. House,3,DEM,Franklin,163,
Jeramey Anderson,U.S. House,4,DEM,Franklin,,
David Baria,U.S. Senate,,DEM,George,83,
Jensen Bohren,U.S. Senate,,DEM,George,7,
Jerone Garland,U.S. Senate,,DEM,George,14,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,George,9,
Omeria Scott,U.S. Senate,,DEM,George,27,
Howard Sherman,U.S. Senate,,DEM,George,39,
Randy Mack Wadkins,U.S. House,1,DEM,George,,
Bennie Thompson,U.S. House,2,DEM,George,,
Kevin Michael Aycox,U.S. House,3,DEM,George,,
Michael Ted Evans,U.S. House,3,DEM,George,,
Jeramey Anderson,U.S. House,4,DEM,George,173,
David Baria,U.S. Senate,,DEM,Greene,33,
Jensen Bohren,U.S. Senate,,DEM,Greene,5,
Jerone Garland,U.S. Senate,,DEM,Greene,3,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Greene,13,
Omeria Scott,U.S. Senate,,DEM,Greene,48,
Howard Sherman,U.S. Senate,,DEM,Greene,19,
Randy Mack Wadkins,U.S. House,1,DEM,Greene,,
Bennie Thompson,U.S. House,2,DEM,Greene,,
Kevin Michael Aycox,U.S. House,3,DEM,Greene,,
Michael Ted Evans,U.S. House,3,DEM,Greene,,
Jeramey Anderson,U.S. House,4,DEM,Greene,102,
David Baria,U.S. Senate,,DEM,Grenada,328,
Jensen Bohren,U.S. Senate,,DEM,Grenada,29,
Jerone Garland,U.S. Senate,,DEM,Grenada,27,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Grenada,39,
Omeria Scott,U.S. Senate,,DEM,Grenada,143,
Howard Sherman,U.S. Senate,,DEM,Grenada,212,
Randy Mack Wadkins,U.S. House,1,DEM,Grenada,,
Bennie Thompson,U.S. House,2,DEM,Grenada,836,
Kevin Michael Aycox,U.S. House,3,DEM,Grenada,,
Michael Ted Evans,U.S. House,3,DEM,Grenada,,
Jeramey Anderson,U.S. House,4,DEM,Grenada,,
David Baria,U.S. Senate,,DEM,Hancock,1115,
Jensen Bohren,U.S. Senate,,DEM,Hancock,23,
Jerone Garland,U.S. Senate,,DEM,Hancock,13,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Hancock,22,
Omeria Scott,U.S. Senate,,DEM,Hancock,29,
Howard Sherman,U.S. Senate,,DEM,Hancock,51,
Randy Mack Wadkins,U.S. House,1,DEM,Hancock,,
Bennie Thompson,U.S. House,2,DEM,Hancock,,
Kevin Michael Aycox,U.S. House,3,DEM,Hancock,,
Michael Ted Evans,U.S. House,3,DEM,Hancock,,
Jeramey Anderson,U.S. House,4,DEM,Hancock,1038,
David Baria,U.S. Senate,,DEM,Harrison,2405,
Jensen Bohren,U.S. Senate,,DEM,Harrison,137,
Jerone Garland,U.S. Senate,,DEM,Harrison,139,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Harrison,262,
Omeria Scott,U.S. Senate,,DEM,Harrison,465,
Howard Sherman,U.S. Senate,,DEM,Harrison,1057,
Randy Mack Wadkins,U.S. House,1,DEM,Harrison,,
Bennie Thompson,U.S. House,2,DEM,Harrison,,
Kevin Michael Aycox,U.S. House,3,DEM,Harrison,,
Michael Ted Evans,U.S. House,3,DEM,Harrison,,
Jeramey Anderson,U.S. House,4,DEM,Harrison,3944,
David Baria,U.S. Senate,,DEM,Hinds,5644,
Jensen Bohren,U.S. Senate,,DEM,Hinds,238,
Jerone Garland,U.S. Senate,,DEM,Hinds,470,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Hinds,772,
Omeria Scott,U.S. Senate,,DEM,Hinds,2826,
Howard Sherman,U.S. Senate,,DEM,Hinds,4909,
Randy Mack Wadkins,U.S. House,1,DEM,Hinds,,
Bennie Thompson,U.S. House,2,DEM,Hinds,12752,
Kevin Michael Aycox,U.S. House,3,DEM,Hinds,862,
Michael Ted Evans,U.S. House,3,DEM,Hinds,922,
Jeramey Anderson,U.S. House,4,DEM,Hinds,,
David Baria,U.S. Senate,,DEM,Holmes,292,
Jensen Bohren,U.S. Senate,,DEM,Holmes,36,
Jerone Garland,U.S. Senate,,DEM,Holmes,150,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Holmes,41,
Omeria Scott,U.S. Senate,,DEM,Holmes,316,
Howard Sherman,U.S. Senate,,DEM,Holmes,368,
Randy Mack Wadkins,U.S. House,1,DEM,Holmes,,
Bennie Thompson,U.S. House,2,DEM,Holmes,1275,
Kevin Michael Aycox,U.S. House,3,DEM,Holmes,,
Michael Ted Evans,U.S. House,3,DEM,Holmes,,
Jeramey Anderson,U.S. House,4,DEM,Holmes,,
David Baria,U.S. Senate,,DEM,Humphreys,156,
Jensen Bohren,U.S. Senate,,DEM,Humphreys,28,
Jerone Garland,U.S. Senate,,DEM,Humphreys,18,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Humphreys,29,
Omeria Scott,U.S. Senate,,DEM,Humphreys,59,
Howard Sherman,U.S. Senate,,DEM,Humphreys,169,
Randy Mack Wadkins,U.S. House,1,DEM,Humphreys,,
Bennie Thompson,U.S. House,2,DEM,Humphreys,502,
Kevin Michael Aycox,U.S. House,3,DEM,Humphreys,,
Michael Ted Evans,U.S. House,3,DEM,Humphreys,,
Jeramey Anderson,U.S. House,4,DEM,Humphreys,,
David Baria,U.S. Senate,,DEM,Issaquena,25,
Jensen Bohren,U.S. Senate,,DEM,Issaquena,7,
Jerone Garland,U.S. Senate,,DEM,Issaquena,3,
"Victor G. Maurice, Jr.",U.S. Senate,,DEM,Issaquena,5,
Omeria Scott,U.S. Senate,,DEM,Issaquena,14,
Howard Sherman,U.S. Senate,,DEM,Issaquena,27,
Randy Mack Wadkins,U.S. House,1,DEM,Issaquena,,
