page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor ,,R,Franklin,Antioch,69
2,Bill Waller Jr.,Governor ,,R,Franklin,Antioch,28
2,Morgan Halford Poore,State Senate,37,R,Franklin,Antioch,69
2,Melanie Sojourner,State Senate,37,R,Franklin,Antioch,29
2,Tate Reeves,Governor ,,R,Franklin,Bad Bayou,155
2,Bill Waller Jr.,Governor ,,R,Franklin,Bad Bayou,82
2,Morgan Halford Poore,State Senate,37,R,Franklin,Bad Bayou,116
2,Melanie Sojourner,State Senate,37,R,Franklin,Bad Bayou,123
2,Tate Reeves,Governor ,,R,Franklin,Bude,89
2,Bill Waller Jr.,Governor ,,R,Franklin,Bude,65
2,Morgan Halford Poore,State Senate,37,R,Franklin,Bude,114
2,Melanie Sojourner,State Senate,37,R,Franklin,Bude,38
2,Tate Reeves,Governor ,,R,Franklin,Cains,82
2,Bill Waller Jr.,Governor ,,R,Franklin,Cains,43
2,Morgan Halford Poore,State Senate,37,R,Franklin,Cains,88
2,Melanie Sojourner,State Senate,37,R,Franklin,Cains,37
2,Tate Reeves,Governor ,,R,Franklin,Eddiceton,138
2,Bill Waller Jr.,Governor ,,R,Franklin,Eddiceton,85
2,Morgan Halford Poore,State Senate,37,R,Franklin,Eddiceton,154
2,Melanie Sojourner,State Senate,37,R,Franklin,Eddiceton,66
2,Tate Reeves,Governor ,,R,Franklin,Hamburg,19
2,Bill Waller Jr.,Governor ,,R,Franklin,Hamburg,6
2,Morgan Halford Poore,State Senate,37,R,Franklin,Hamburg,11
2,Melanie Sojourner,State Senate,37,R,Franklin,Hamburg,15
2,Tate Reeves,Governor ,,R,Franklin,Knoxville,30
2,Bill Waller Jr.,Governor ,,R,Franklin,Knoxville,5
2,Morgan Halford Poore,State Senate,37,R,Franklin,Knoxville,22
2,Melanie Sojourner,State Senate,37,R,Franklin,Knoxville,13
2,Tate Reeves,Governor ,,R,Franklin,Lucien,35
2,Bill Waller Jr.,Governor ,,R,Franklin,Lucien,40
2,Morgan Halford Poore,State Senate,37,R,Franklin,Lucien,41
2,Melanie Sojourner,State Senate,37,R,Franklin,Lucien,36
2,Tate Reeves,Governor ,,R,Franklin,Mccall,102
2,Bill Waller Jr.,Governor ,,R,Franklin,Mccall,48
2,Morgan Halford Poore,State Senate,37,R,Franklin,Mccall,102
2,Melanie Sojourner,State Senate,37,R,Franklin,Mccall,46
2,Tate Reeves,Governor ,,R,Franklin,Meadville,107
2,Bill Waller Jr.,Governor ,,R,Franklin,Meadville,115
2,Morgan Halford Poore,State Senate,37,R,Franklin,Meadville,200
2,Melanie Sojourner,State Senate,37,R,Franklin,Meadville,27
2,Tate Reeves,Governor ,,R,Franklin,Pine Grove,40
2,Bill Waller Jr.,Governor ,,R,Franklin,Pine Grove,26
2,Morgan Halford Poore,State Senate,37,R,Franklin,Pine Grove,45
2,Melanie Sojourner,State Senate,37,R,Franklin,Pine Grove,22
3,Tate Reeves,Governor ,,R,Franklin,Roxie,56
3,Bill Waller Jr.,Governor ,,R,Franklin,Roxie,17
3,Morgan Halford Poore,State Senate,37,R,Franklin,Roxie,42
3,Melanie Sojourner,State Senate,37,R,Franklin,Roxie,32
3,Tate Reeves,Governor ,,R,Franklin,Wesley Chapel,19
3,Bill Waller Jr.,Governor ,,R,Franklin,Wesley Chapel,4
3,Morgan Halford Poore,State Senate,37,R,Franklin,Wesley Chapel,13
3,Melanie Sojourner,State Senate,37,R,Franklin,Wesley Chapel,8
3,Tate Reeves,Governor ,,R,Franklin,Whittington,117
3,Bill Waller Jr.,Governor ,,R,Franklin,Whittington,76
3,Morgan Halford Poore,State Senate,37,R,Franklin,Whittington,127
3,Melanie Sojourner,State Senate,37,R,Franklin,Whittington,68
3,Tate Reeves,Governor ,,R,Franklin,TOTAL ,1058
3,Bill Waller Jr.,Governor ,,R,Franklin,TOTAL ,640
3,Morgan Halford Poore,State Senate,37,R,Franklin,TOTAL ,1144
3,Melanie Sojourner,State Senate,37,R,Franklin,TOTAL ,560